DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SAT,10,00004134,E BROAD ST & S HIGH ST,304,358,662,39.962147,-83.00008,1
SAT,10,00004149,E BROAD ST & N HIGH ST,314,284,598,39.962294,-82.999615,2
SAT,2,00006464,S HIGH ST & E BROAD ST,220,201,421,39.961629,-83.000066,3
SAT,8,00006407,GREAT SOUTHERN PARK AND,233,156,389,39.885055,-83.000907,4
SAT,6,00002900,N HIGH ST & W BROAD ST,116,273,388,39.962786,-83.000653,5
SAT,6,00006464,S HIGH ST & E BROAD ST,277,105,382,39.961637,-83.000349,6
SAT,121,00004850,S FRONT ST & W SYCAMORE,210,162,372,39.949233,-82.999882,7
SAT,1,00002900,N HIGH ST & W BROAD ST,220,151,371,39.962787,-83.000664,8
SAT,1,00006464,S HIGH ST & E BROAD ST,109,224,333,39.961621,-83.000074,9
SAT,8,00006839,BOARDWALK ST & SHAPTER A,165,164,329,40.089226,-82.991722,10
SAT,2,00002900,N HIGH ST & W BROAD ST,169,150,319,39.962794,-83.000603,11
SAT,10,00007253,HOLLYWOOD CASINO,143,166,309,39.950657,-83.107771,12
SAT,10,00005520,WESTWOODS PARK AND RIDE,135,138,273,39.950744,-83.147234,13
SAT,12,00004193,MCKINLEY AVE & MCK TRANS,131,133,264,39.964383,-83.041368,14
SAT,23,00005312,EASTLAND NB LOT & S HAMI,137,126,263,39.918595,-82.88066,15
SAT,1,00003522,REYNOLDSBURG PARK & RIDE,138,114,252,39.939315,-82.827699,16
SAT,7,00004157,W LONG ST & N HIGH ST,212,24,236,39.964876,-83.001335,17
SAT,34,00008004,EASTON TERMINAL BAY 2,113,117,230,40.060853,-82.90947,18
SAT,6,00007253,HOLLYWOOD CASINO,116,110,226,39.950713,-83.107785,19
SAT,24,00005312,EASTLAND NB LOT & S HAMI,113,109,222,39.918604,-82.880675,20
SAT,8,00004157,W LONG ST & N HIGH ST,93,125,219,39.964946,-83.001358,21
SAT,1,00004101,N HIGH ST & W LONG ST,115,100,215,39.965179,-83.001191,22
SAT,6,00001132,3401 CLEVELAND AVE,165,49,214,40.036619,-82.962931,23
SAT,6,00004101,N HIGH ST & W LONG ST,64,145,209,39.965179,-83.001198,24
SAT,5,00006955,GENDER RD TOWN CENTER 1,101,97,198,39.909819,-82.822091,25
SAT,6,00005910,N HIGH ST & E GAY ST,138,56,194,39.964456,-83.000919,26
SAT,24,00008003,EASTON TERMINAL BAY 3,100,92,193,40.060836,-82.90931,27
SAT,2,00005910,N HIGH ST & E GAY ST,105,83,188,39.964416,-83.00078,28
SAT,2,00004101,N HIGH ST & W LONG ST,97,89,186,39.965251,-83.001139,29
SAT,6,00003086,CLEVELAND AVE & MORSE RD,46,138,184,40.058972,-82.952967,30
SAT,8,00003142,W SPRING ST & N WALL ST,106,77,183,39.966228,-83.002491,31
SAT,2,00001185,N HIGH ST & E 6TH AVE,67,116,183,39.989162,-83.005844,32
SAT,5,00005312,EASTLAND NB LOT & S HAMI,82,99,181,39.918546,-82.880688,33
SAT,6,00003133,CLEVELAND AVE & MORSE RD,125,51,177,40.058836,-82.953161,34
SAT,6,00006415,S FRONT ST & W MAIN ST,97,79,176,39.95523,-83.000994,35
SAT,2,00002307,E MAIN ST & S HAMILTON R,33,143,175,39.955433,-82.877199,36
SAT,12,00007111,W BROAD ST & N HIGH ST,74,100,174,39.962572,-83.000858,37
SAT,7,00007515,E SPRING ST & N HIGH ST,4,168,173,39.966347,-83.001093,38
SAT,2,00002329,E MAIN ST & S JAMES RD,93,79,172,39.956642,-82.914409,39
SAT,10,00004150,W BROAD ST & MARCONI BLV,140,26,165,39.961985,-83.003531,40
SAT,6,00004530,CLEVELAND AVE & INNIS RD,46,117,163,40.037144,-82.962509,41
SAT,5,00007456,S FRONT ST & W BROAD ST,94,66,159,39.961617,-83.002047,42
SAT,3,00001644,E MAIN ST & S PEARL ST,9,149,158,39.956186,-82.998402,43
SAT,34,00005955,MORSE RD & CLEVELAND AVE,86,70,156,40.059403,-82.952255,44
SAT,8,00006370,S HIGH ST & E FULTON ST,29,126,155,39.954209,-82.998982,45
SAT,2,00002315,E MAIN ST & S HAMILTON R,124,29,153,39.955539,-82.876418,46
SAT,121,00007347,HIGH ST & W SYCAMORE ST,40,111,151,39.949354,-82.998336,47
SAT,10,00002681,W BROAD ST & S FRONT ST,42,109,151,39.961918,-83.002682,48
SAT,2,00002294,E MAIN ST & S JAMES RD,85,66,151,39.956544,-82.915176,49
SAT,10,00002494,E BROAD ST & S JAMES RD,73,76,149,39.972069,-82.912412,50
SAT,2,00007256,WESTVIEW TURNAROUND,74,75,148,40.070005,-83.019596,51
SAT,2,00001797,E MOUND ST & S HIGH ST,18,129,147,39.954925,-82.998907,52
SAT,23,00008005,EASTON TERMINAL BAY 1,74,73,147,40.060848,-82.909725,53
SAT,8,00006186,GREAT SOUTHERN WAL-MART,53,94,146,39.88906,-83.000759,54
SAT,121,00005910,N HIGH ST & E GAY ST,71,72,144,39.964389,-83.000907,55
SAT,10,00002509,E BROAD ST & S HAMILTON,37,106,143,39.976067,-82.874438,56
