DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
WEEKDAY,10,00004134,E BROAD ST & S HIGH ST,612,594,1207,39.96215,-83.000104,1
WEEKDAY,10,00004149,E BROAD ST & N HIGH ST,566,600,1166,39.962356,-82.999622,2
WEEKDAY,2,00002900,N HIGH ST & W BROAD ST,300,292,592,39.962804,-83.00073,3
CBUS-FRI,121,00004850,S FRONT ST & W SYCAMORE,344,244,588,39.949228,-82.999889,1
WEEKDAY,1,00006464,S HIGH ST & E BROAD ST,182,377,559,39.961566,-83.000259,4
WEEKDAY,1,00002900,N HIGH ST & W BROAD ST,333,222,555,39.962816,-83.000747,5
WEEKDAY,6,00006464,S HIGH ST & E BROAD ST,403,146,549,39.96161,-83.000424,6
WEEKDAY,6,00002900,N HIGH ST & W BROAD ST,155,389,545,39.962816,-83.00079,7
WEEKDAY,121,00004850,S FRONT ST & W SYCAMORE,312,218,530,39.949223,-82.999887,8
WEEKDAY,2,00006464,S HIGH ST & E BROAD ST,250,264,513,39.961571,-83.000254,9
WEEKDAY,7,00004157,W LONG ST & N HIGH ST,334,36,370,39.964887,-83.001422,10
WEEKDAY,10,00005520,WESTWOODS PARK AND RIDE,182,186,367,39.95077,-83.147345,11
WEEKDAY,8,00006407,GREAT SOUTHERN PARK AND,222,139,360,39.885048,-83.000907,12
WEEKDAY,10,00007253,HOLLYWOOD CASINO,165,193,357,39.95068,-83.107728,13
WEEKDAY,8,00006839,BOARDWALK ST & SHAPTER A,179,173,352,40.089213,-82.991752,14
WEEKDAY,23,00005312,EASTLAND NB LOT & S HAMI,183,163,346,39.91868,-82.880672,15
WEEKDAY,2,00004101,N HIGH ST & W LONG ST,176,166,342,39.965183,-83.001272,16
WEEKDAY,6,00004101,N HIGH ST & W LONG ST,102,231,334,39.965211,-83.001264,17
WEEKDAY,8,00004157,W LONG ST & N HIGH ST,133,196,329,39.96489,-83.001485,18
CBUS-FRI,121,00006464,S HIGH ST & E BROAD ST,170,149,319,39.961599,-83.0004,2
WEEKDAY,6,00005910,N HIGH ST & E GAY ST,229,80,308,39.964416,-83.001014,19
WEEKDAY,1,00004101,N HIGH ST & W LONG ST,181,126,308,39.965232,-83.00128,20
WEEKDAY,8,00006370,S HIGH ST & E FULTON ST,79,220,299,39.954214,-82.999014,21
WEEKDAY,121,00006464,S HIGH ST & E BROAD ST,145,147,292,39.961593,-83.000405,22
WEEKDAY,10,00002681,W BROAD ST & S FRONT ST,88,204,292,39.961912,-83.002714,23
WEEKDAY,7,00007515,E SPRING ST & N HIGH ST,6,285,291,39.966367,-83.001043,24
WEEKDAY,6,00001132,3401 CLEVELAND AVE,215,73,287,40.036668,-82.962912,25
WEEKDAY,34,00008004,EASTON TERMINAL BAY 2,138,145,283,40.060867,-82.909497,26
CBUS-FRI,121,00002900,N HIGH ST & W BROAD ST,126,157,283,39.962833,-83.000787,3
WEEKDAY,121,00002900,N HIGH ST & W BROAD ST,125,146,272,39.962833,-83.000795,27
CBUS-FRI,121,00004092,N HIGH ST & E NATIONWIDE,129,135,264,39.968219,-83.001738,4
WEEKDAY,10,00004150,W BROAD ST & MARCONI BLV,213,46,259,39.961986,-83.003538,28
WEEKDAY,10,00002494,E BROAD ST & S JAMES RD,111,145,256,39.972069,-82.912395,29
WEEKDAY,2,00001797,E MOUND ST & S HIGH ST,51,202,254,39.954862,-82.99892,30
WEEKDAY,2,00005910,N HIGH ST & E GAY ST,134,115,249,39.964347,-83.001081,31
WEEKDAY,6,00004085,S HIGH ST & E RICH ST,144,104,249,39.957233,-82.999669,32
WEEKDAY,2,00001644,E MAIN ST & S PEARL ST,178,70,248,39.956251,-82.998361,33
WEEKDAY,3,00001644,E MAIN ST & S PEARL ST,16,227,243,39.956219,-82.998385,34
WEEKDAY,6,00006415,S FRONT ST & W MAIN ST,139,101,241,39.95526,-83.000988,35
WEEKDAY,24,00005312,EASTLAND NB LOT & S HAMI,118,120,238,39.918594,-82.880676,36
CBUS-FRI,121,00004100,N HIGH ST & W NATIONWIDE,136,101,237,39.968247,-83.001902,5
WEEKDAY,5,00005312,EASTLAND NB LOT & S HAMI,105,131,236,39.918545,-82.88068,37
WEEKDAY,1,00005910,N HIGH ST & E GAY ST,93,143,236,39.964361,-83.001049,38
CBUS-FRI,121,00005910,N HIGH ST & E GAY ST,110,124,234,39.964371,-83.001003,6
WEEKDAY,121,00004092,N HIGH ST & E NATIONWIDE,115,118,233,39.968218,-83.001738,39
WEEKDAY,8,00003142,W SPRING ST & N WALL ST,138,92,230,39.966219,-83.002529,40
WEEKDAY,22,00007063,LONDON-GROVEPORT RD & AL,102,128,230,39.830144,-82.933008,41
WEEKDAY,6,00003086,CLEVELAND AVE & MORSE RD,68,161,229,40.058953,-82.952965,42
WEEKDAY,121,00007330,E 3RD AVE & SAY AVE,111,117,229,39.98368,-83.002554,43
WEEKDAY,23,00004770,N JAMES RD & E BROAD ST,62,164,226,39.97216,-82.913415,44
WEEKDAY,6,00007253,HOLLYWOOD CASINO,111,114,225,39.95072,-83.107721,45
WEEKDAY,12,00004550,1333 FIELDS AVE,119,104,224,39.990521,-82.992056,46
CBUS-FRI,121,00007330,E 3RD AVE & SAY AVE,107,115,222,39.983668,-83.002589,7
WEEKDAY,2,00002307,E MAIN ST & S HAMILTON R,50,171,221,39.955439,-82.877212,47
WEEKDAY,24,00008003,EASTON TERMINAL BAY 3,115,105,220,40.06087,-82.9093,48
WEEKDAY,121,00004100,N HIGH ST & W NATIONWIDE,115,102,218,39.96825,-83.001912,49
WEEKDAY,6,00003133,CLEVELAND AVE & MORSE RD,152,66,218,40.058802,-82.95316,50
CBUS-FRI,121,00007347,HIGH ST & W SYCAMORE ST,47,171,218,39.94935,-82.998296,8
WEEKDAY,2,00002329,E MAIN ST & S JAMES RD,135,82,217,39.956626,-82.914401,51
CBUS-FRI,121,00004101,N HIGH ST & W LONG ST,146,71,217,39.965199,-83.001265,9
WEEKDAY,23,00008005,EASTON TERMINAL BAY 1,109,107,216,40.060855,-82.909647,52
WEEKDAY,1,00006370,S HIGH ST & E FULTON ST,93,122,215,39.954201,-82.999007,53
